Run_id,Customer_id,Timestamp,Domain,IP Address,Name Server,Mail Server,Registrar,Registrant,Registered Address,Registration Country,Registration Date,Remarks,Redirection,Website,Login Page,Port,SSL,Company Keywords
17,JK01,2025-05-30 12:31:39,ci.d.jk.SAKURA.in,91.195.241.232,sl1.sedo.com | sl2.sedo.com,localhost. (Priority: 0),Key-Systems GmbH,Null,Null,JP,2006-05-08,Success,https://sedo.com/search/details/?domain=ci.d.jk.sakura.in&campaignId=329145&origin=sales_lander_15 (Parked Domain),No,No,80 | 443,Yes,No
17,JK01,2025-05-30 12:31:39,jk.fpf.DTV.in,199.59.243.228,ns2.bodis.com | ns1.bodis.com,Null,"Spaceship, Inc.",Null,Null,IN,2016-05-01,Success,http://jk.fpf.dtv.in/,Yes,No,80 | 443,No,No
17,JK01,2025-05-30 12:31:39,jkpoliceeservi.ces.DDS.in,199.59.243.228,ns2.bodis.com | ns1.bodis.com,Null,"Spaceship, Inc.",Null,Null,IN,2019-06-30,Success,http://jkpoliceeservi.ces.dds.in/,Yes,No,80 | 443,No,No
17,JK01,2025-05-30 12:31:40,kas.hmiir.PH,45.79.222.138,Null,Null,Null,Null,Null,Null,Null,WHOIS unavailable or domain not registered.,http://kas.hmiir.ph/page/bouncy.php?&bpae=GbhGti0Gokx79YuoR2tUNsiL0omCgiibSTRffhvJe2U%2FMeajiMk5YxlAs3WcBl7XceYckO8ca2Ep0t%2B37oHEuqF7aSs3c656DaNNtHvjaZ%2FOmllbN5d%2BeVpmIR0oanIGDQhYzhR9HKQqmXhKBFHjNRx1mvXKWuZYeAs9on95R5IF%2Fadg1%2FwcOAESnYHp5Kz3TTWwujo6FyIew9M34Rs1nXvQ2DbYCJEUV%2Byr6eFdnFSqvuc3KuxPBD8pOvkHVWKH6%2BtLBeAjvpmQ9iXy9kMNxDyJe1wfGUFBDjq9rKQjrunmk0lgKpMXrp%2BWMYligZL8YZmbrxr5551EeT2006q6xdIhfmbxDg%3D%3D&redirectType=js&inIframe=false&inPopUp=false (Parked Domain),No,No,80 | 443,No,No
17,JK01,2025-05-30 12:31:40,eab.gari.jkexcise.YACHTS.in,185.53.178.50,ns1.parkingcrew.net | ns2.parkingcrew.net,alltheemails.com. (Priority: 1) | mail.h-email.net. (Priority: 5),Costrar EOOD,Null,Null,BG,2025-03-25,Success,http://eab.gari.jkexcise.yachts.in/,No,No,80 | 443,No,No
17,JK01,2025-05-30 12:31:40,jktrafficpo.lice1.XN--FIQZ9S,218.241.105.10,Null,Null,Null,Null,Null,Null,Null,WHOIS unavailable or domain not registered.,Null,No,No,80,No,No
17,JK01,2025-05-30 12:31:39,k.ashmirp2olice.XN--NODE,188.93.95.11,Null,Null,Null,Null,Null,Null,Null,WHOIS unavailable or domain not registered.,http://k.ashmirp2olice.xn--node/ (Parked Domain),No,No,80,No,No
17,JK01,2025-05-30 12:31:40,jkpuoli.ce.XN--NGBRX,127.0.53.53,Null,Null,Null,Null,Null,Null,Null,WHOIS unavailable or domain not registered.,Null,No,No,Null,No,No
17,JK01,2025-05-30 12:31:40,njkho.me.XN--NGBRX,127.0.53.53,Null,Null,Null,Null,Null,Null,Null,WHOIS unavailable or domain not registered.,Null,No,No,Null,No,No
17,JK01,2025-05-30 12:31:40,jkp.olicle.XN--FIQZ9S,218.241.105.10,Null,Null,Null,Null,Null,Null,Null,WHOIS unavailable or domain not registered.,Null,No,No,80,No,No
17,JK01,2025-05-30 12:31:40,jammupoli.ce.net.SCHOOL,13.248.169.48,ns1.afternic.com | ns2.afternic.com,Null,Dynadot Inc,Super Privacy Service LTD c/o Dynadot,REDACTED,US,2017-08-20,Success,http://jammupoli.ce.net.school/lander,No,No,80 | 443,No,No
17,JK01,2025-05-30 12:31:41,kashmi.rpolice.jk.FURNITURE.in,139.162.181.76,qizai.ns.giantpanda.com | beibei.ns.giantpanda.com,Null,Netlynx Technologies Pvt. Ltd.,Null,Null,DE,2005-02-16,Success,http://kashmi.rpolice.jk.furniture.in/,Yes,No,80 | 443,No,No
